date,Oil_USD,Gold_USD,rupees_per_dollar,Kalyan,Silver_USD,Nifty50,US10Y_yield,GOLDBEES,Gold_INR_PM,Silver_INR_PM,ibja_source,MCX_Gold_close,forex_reserves_usd_bn,parity_actual,parity_pre,parity_post,domestic_premium,premium_pct,silver_parity_pre,silver_premium,post_hike,days_since_hike,delta_Gold_USD,delta_FX,delta_Oil,t,pre_restriction,lag1_premium,lag_break
2024-06-13,82.75,2300.199951171875,83.5343017578125,,,23398.900390625,4.23799991607666,60.59000015258789,71513.0,87847.0,pdf,71138.0,655.816763,71042.6274689895,65482.769667068605,71042.6274689895,6030.2303329313945,9.208880998147528,,,0,,-1.5325363368204226,-0.0747636257438011,0.1815999136197454,638,0,5028.307540751033,0
2024-06-14,82.62000274658203,2331.39990234375,83.52210235595703,,,23465.599609375,4.2129998207092285,60.59999847412109,,,,,652.8950060000001,71995.73503549643,66361.2862066315,71995.73503549643,,,,,0,,1.3564016969907169,-0.014604062760759,-0.1570963787528301,639,0,6030.2303329313945,0
2024-06-17,84.25,2312.39990234375,83.55180358886719,,,,4.27899980545044,,71866.0,87833.0,pdf,71450.0,652.8950060000001,71434.39157280428,65843.87397145438,71434.39157280428,6022.126028545623,9.146068822069044,,,0,,-0.8149610017955,0.0355609258775313,1.9728845306597351,640,0,,0
2024-06-18,85.33000183105469,2330.39990234375,83.51010131835938,,,23557.900390625,4.2170000076293945,60.33000183105469,71285.0,87553.0,pdf,71739.0,652.8950060000001,71954.5137205056,66323.29090759647,71954.5137205056,4961.709092403529,7.48109604409758,,,0,,0.778412072313106,-0.0499118734923031,1.2819012831509546,641,0,6022.126028545623,0
2024-06-19,,,83.37409973144531,,,23516.0,,60.709999084472656,71704.0,88195.0,pdf,71732.0,652.8950060000001,,,,,,,,0,,,-0.1628564506173879,,642,0,4961.709092403529,0
2024-06-20,85.70999908447266,2353.800048828125,83.41950225830078,,,23567.0,4.254000186920166,61.02999877929688,72162.0,90038.0,pdf,72586.0,652.8950060000001,72598.18115714539,66916.58437093403,72598.18115714539,5245.415629065974,7.838737853070067,,,0,,,0.0544563923349228,,643,0,,0
2024-06-21,85.23999786376953,2316.39990234375,83.60160064697266,,,23501.099609375,4.256999969482422,61.52999877929688,72746.0,90666.0,pdf,71584.0,653.710553,71600.60781281622,65997.08198398713,71600.60781281622,6748.918016012874,10.226085477006944,,,0,,-1.5889262345370136,0.2182923462046293,-0.548362181453188,644,0,5245.415629065974,0
2024-06-24,86.01000213623047,2330.0,83.5625,,,23537.849609375,4.248000144958496,60.619998931884766,71615.0,88671.0,pdf,71791.0,653.710553,71987.30649283843,66353.51728905109,71987.30649283843,5261.482710948912,7.929470698634845,,,0,,0.5871221822488115,-0.0467702133333136,0.903336804033672,645,0,6748.918016012874,0
2024-06-25,85.01000213623047,2316.60009765625,83.46040344238281,,,23721.30078125,4.23799991607666,60.75,71739.0,88515.0,pdf,71467.0,653.710553,71485.85708354755,65891.31174657427,71485.85708354755,5847.688253425731,8.874748579777297,,,0,,-0.5751031048819688,-0.1221798744857838,-1.1626554762969366,646,0,5261.482710948912,0
2024-06-26,85.25,2299.199951171875,83.41459655761719,,,23868.80078125,4.315999984741211,60.459999084472656,,,,,653.710553,70909.98176479797,65360.50493103117,70909.98176479797,,,,,0,,-0.7511070426863498,-0.0548845714569923,0.2823172070798518,647,0,5847.688253425731,0
2024-06-27,86.38999938964844,2324.5,83.58039855957031,,,24044.5,4.288000106811523,60.31999969482422,71391.0,87043.0,pdf,71572.0,653.710553,71832.76220344314,66211.0677701302,71832.76220344314,5179.932229869795,7.823363078591851,,,0,,1.1003848888927692,0.1987685714437193,1.3372426858046182,648,0,,0
2024-06-28,86.41000366210938,2327.699951171875,83.45089721679688,,,24010.599609375,4.3429999351501465,60.630001068115234,,,,,651.997259,71820.19604973888,66199.48505454193,71820.19604973888,,,,,0,,0.1376619131802536,-0.1549422412494672,0.0231557733560316,649,0,5179.932229869795,0
2024-07-01,86.5999984741211,2327.60009765625,83.36750030517578,,,24141.94921875,4.479000091552734,60.54999923706055,,,,,651.997259,71745.34445623074,66130.49141183008,71745.34445623074,,,,,0,,-0.0042897932602814,-0.0999353085496923,0.2198759448670539,650,0,,0
2024-07-02,86.23999786376953,2323.0,83.44129943847656,,,24123.849609375,4.435999870300293,60.720001220703125,,,,,651.997259,71666.93760667392,66058.22075049944,71666.93760667392,,,,,0,,-0.1976326457831856,0.0885226653439597,-0.4157051001093759,651,0,,0
2024-07-03,87.33999633789062,2359.800048828125,83.4791030883789,,,24286.5,4.355000019073486,61.06999969482422,72226.0,89698.0,pdf,72403.0,651.997259,72835.24049566682,67135.0912394842,72835.24049566682,5090.908760515798,7.583081614286508,,,0,,1.5841605177841167,0.0453056821463127,1.2755084663368388,652,0,,1
2024-07-04,,,83.49120330810547,,,24302.150390625,,61.290000915527344,,,,,651.997259,,,,,,,,0,,,0.0144949086404944,,653,0,5090.908760515798,0
2024-07-05,86.54000091552734,2388.5,83.49340057373047,,,24323.849609375,4.271999835968018,61.47999954223633,72640.0,90709.0,pdf,73051.0,657.1550259999999,73733.69085823413,67963.22809541582,73733.69085823413,4676.77190458418,6.8813269111030255,,,0,,,0.0026317330903635,,654,0,,0
2024-07-08,85.75,2355.199951171875,83.47209930419922,,,24320.55078125,4.269000053405762,61.56999969482422,72746.0,91733.0,pdf,72333.0,657.1550259999999,72687.15959177696,66998.59927589877,72687.15959177696,5747.40072410123,8.57838937861008,,,0,,-1.3941824922807156,-0.0255125188157068,-0.912873708307993,655,0,4676.77190458418,0
