date,ibja_am,ibja_pm
2018-08-20,,999.0
2018-08-23,,999.0
2018-08-27,,999.0
2018-08-30,,999.0
2018-09-03,,999.0
2018-09-04,,999.0
2018-09-05,,999.0
2018-09-07,,999.0
2018-09-10,,999.0
2018-09-11,,999.0
2018-09-14,,999.0
2018-09-17,,999.0
2018-09-21,,999.0
2018-09-26,,999.0
2018-09-27,,999.0
2018-10-05,,999.0
2018-10-09,,999.0
2018-10-11,,999.0
2018-10-12,,999.0
2018-10-15,,999.0
2018-10-19,,999.0
2018-10-23,,999.0
2018-10-24,,999.0
2018-10-26,,999.0
2018-11-01,,999.0
2018-11-06,,999.0
2018-11-08,,999.0
2018-11-12,,999.0
2018-11-13,,999.0
2018-11-14,,999.0
2018-11-16,,999.0
2018-11-19,,999.0
2018-11-20,,999.0
2018-11-22,,999.0
2018-11-26,,999.0
2018-11-27,,999.0
2018-11-28,,999.0
2018-11-29,,999.0
2018-11-30,,999.0
2018-12-03,,999.0
2018-12-04,,999.0
2018-12-05,,999.0
2018-12-07,,999.0
2018-12-10,,999.0
2018-12-13,,999.0
2018-12-18,,999.0
2018-12-19,,999.0
2018-12-20,,999.0
2018-12-24,,999.0
2018-12-28,,999.0
2019-01-01,,999.0
2019-01-02,,999.0
2019-01-08,,999.0
2019-01-09,,999.0
2019-01-10,,999.0
2019-01-11,,999.0
2019-01-14,,999.0
2019-01-15,,999.0
2019-01-17,,999.0
2019-01-18,,999.0
2019-01-23,,999.0
2019-01-24,,999.0
2019-01-25,,999.0
2019-01-28,,999.0
2019-01-29,,999.0
2019-02-06,,999.0
2019-02-08,,999.0
2019-02-11,,999.0
2019-02-12,,999.0
2019-02-14,,999.0
2019-02-18,,999.0
2019-02-22,,999.0
2019-02-26,,999.0
2019-03-01,,999.0
2019-03-05,,999.0
2019-03-08,,999.0
2019-03-13,,999.0
2019-03-14,,999.0
2019-03-22,,999.0
2019-03-26,,999.0
2019-03-27,,999.0
2019-03-29,,999.0
2019-04-03,,999.0
2019-04-08,,999.0
2019-04-09,,999.0
2019-04-11,,999.0
2019-04-15,,999.0
2019-04-16,,999.0
2019-04-18,,999.0
2019-04-23,,999.0
2019-04-24,,999.0
2019-04-30,,999.0
2019-05-02,,999.0
2019-05-06,,999.0
2019-05-07,,999.0
2019-05-09,,999.0
2019-05-10,,999.0
2019-05-14,,999.0
2019-05-15,,999.0
2019-05-16,,999.0
2019-05-22,,999.0
2019-06-04,,999.0
2019-06-07,,999.0
2019-06-10,,999.0
2019-06-11,,999.0
2019-06-13,,999.0
2019-06-14,,999.0
2019-06-18,,999.0
2019-06-19,,999.0
2019-06-20,,999.0
